Player,S/C,Pos,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,GP,G,A,P
Danny Grant,L,L,1946-02-21,Fredericton,NB,CAN,CAN,70,188,--,--,--,19651966,N,562,197,210,407
Fern LeBlanc,L,C,1956-01-12,Gaspesie,QC,CAN,CAN,69,170,1976,7,111,19761977,N,34,5,6,11
Dan Gratton,L,C,1966-12-07,Brantford,ON,CAN,CAN,72,185,1985,1,10,19871988,N,7,1,0,1
Rene Leclerc,R,R,1947-11-12,Vanier,QC,CAN,CAN,71,165,1964,4,19,19681969,N,44,8,8,16
Alexei Gusarov,L,D,1964-07-08,Moscow,--,RUS,RUS,74,200,1988,11,213,19901991,N,607,39,128,167
Adam Graves,L,L,1968-04-12,Tecumseh,ON,CAN,CAN,72,205,1986,2,22,19871988,N,"1,152",329,287,616
Hilliard Graves,R,R,1950-10-18,St. John,NB,CAN,CAN,71,175,--,--,--,19701971,N,556,118,163,281
Steve Graves,L,L,1964-04-07,Trenton,ON,CAN,CAN,70,175,1982,2,41,19831984,N,35,5,4,9
Francois Guay,L,C,1968-06-08,Gatineau,QC,CAN,CAN,72,190,1986,8,152,19891990,N,1,0,0,0
Bryan Lefley,L,D,1948-10-18,Grosse Isle,MB,CAN,CAN,72,195,--,--,--,19721973,N,228,7,29,36
Randy Legge,R,D,1945-12-16,Newmarket,ON,CAN,CAN,71,184,--,--,--,19721973,N,12,0,2,2
Henry Lehvonen,L,D,1950-08-26,Sarnia,ON,CAN,CAN,71,200,1970,5,62,19741975,N,4,0,0,0
Bobby Leiter,L,C,1941-03-22,Winnipeg,MB,CAN,CAN,69,175,--,--,--,19621963,N,312,78,98,176
Mark Greig,R,R,1970-01-25,High River,AB,CAN,CAN,71,190,1990,1,15,19901991,N,125,13,27,40
Stu Grimson,L,L,1965-05-20,Kamloops,BC,CAN,CAN,77,239,1985,7,143,19881989,N,729,17,22,39
Stephane Guerard,L,D,1968-04-12,St. Elisabeth,QC,CAN,CAN,74,198,1986,2,41,19871988,N,34,0,0,0
Jeff Greenlaw,L,L,1968-02-28,Toronto,ON,CAN,CAN,73,230,1986,1,19,19861987,N,57,3,6,9
Wayne Groulx,R,C,1965-02-02,Welland,ON,CAN,AUT,73,185,1983,9,172,19841985,N,1,0,0,0
Randy Gregg,L,D,1956-02-19,Edmonton,AB,CAN,CAN,76,215,--,--,--,19821983,N,474,41,152,193
Rick Green,L,D,1956-02-20,Belleville,ON,CAN,CAN,75,220,1976,1,1,19761977,N,845,43,220,263
Ted Green,R,D,1940-03-23,St. Boniface,MB,CAN,CAN,70,200,--,--,--,19601961,N,133,6,53,59
Bruce Greig,L,L,1953-05-09,High River,AB,CAN,CAN,74,220,1973,8,114,19731974,N,9,0,1,1
Ron Greschner,L,D,1954-12-22,Goodsoil,SK,CAN,CAN,74,205,1974,2,32,19741975,N,981,179,431,610
Richard Grenier,L,C,1952-09-18,Montréal,QC,CAN,AUT,71,170,1972,5,65,19721973,N,10,1,1,2
Bobby Guindon,L,C,1950-11-19,Labelle,QC,CAN,CAN,69,175,1970,2,26,19791980,N,6,0,1,1
Jocelyn Guevremont,R,D,1951-03-01,Montréal,QC,CAN,CAN,74,200,1971,1,3,19711972,N,571,84,223,307
Bengt-Ake Gustafsson,L,L,1958-03-23,Karlskoga,--,SWE,SWE,72,190,1978,4,55,19791980,N,629,195,359,554
Kenneth Gruhl,L,L,1959-09-13,Port Colborne,ON,CAN,CAN,71,185,--,--,--,19811982,N,20,3,3,6
Peter Gustavsson,L,L,1958-03-30,Bollebygd,--,SWE,SWE,73,188,--,--,--,19811982,N,2,0,0,0
Paul Guay,R,R,1963-09-02,Providence,RI,USA,USA,71,185,1981,6,118,19831984,N,117,11,23,34
Jari Gronstrand,L,D,1962-11-14,Tampere,--,FIN,FIN,75,195,1986,5,96,19861987,N,185,8,26,34
Kevan Guy,R,D,1965-07-16,Edmonton,AB,CAN,CAN,75,202,1983,4,71,19861987,N,156,5,20,25
Ari Haanpaa,R,R,1965-11-28,Nokia,--,FIN,FIN,73,185,1984,4,83,19851986,N,60,6,11,17
Len Hachborn,L,C,1961-09-04,Brantford,ON,CAN,CAN,70,175,1981,9,184,19831984,N,102,20,39,59
Marc Habscheid,R,C,1963-03-01,Swift Current,SK,CAN,CAN,72,185,1981,6,113,19811982,N,345,72,91,163
Matti Hagman,L,C,1955-09-21,Helsinki,--,FIN,FIN,73,184,1975,6,104,19761977,N,237,56,89,145
Roger Hagglund,L,D,1961-07-02,Umea,--,SWE,SWE,73,175,1980,7,138,19841985,N,3,0,0,0
Bill Hajt,L,D,1951-11-18,Borden,SK,CAN,CAN,75,215,1971,3,33,19731974,N,854,42,202,244
Richard Hajdu,L,L,1965-04-10,Victoria,BC,CAN,CAN,73,185,1983,2,34,19851986,N,5,0,0,0
David Haas,L,L,1968-07-23,Toronto,ON,CAN,CAN,74,196,1986,5,105,19901991,N,7,2,1,3
Jean Lemieux,R,D,1952-05-31,Noranda,QC,CAN,CAN,73,180,1972,3,34,19731974,N,204,23,63,86
Real Lemieux,L,L,1945-01-03,Victoriaville,QC,CAN,CAN,71,180,--,--,--,19661967,N,234,22,42,64
Bob Halkidis,L,D,1966-03-05,Toronto,ON,CAN,CAN,71,200,1984,4,81,19851986,N,256,8,32,40
Taylor Hall,L,R,1964-02-20,Regina,SK,CAN,CAN,71,180,1982,6,116,19831984,N,41,7,9,16
Rich Lemieux,L,C,1951-04-19,Temiscamingue,QC,CAN,CAN,68,155,1971,3,39,19711972,N,274,39,82,121
Kevin Haller,L,D,1970-12-05,Trochu,AB,CAN,CAN,74,200,1989,1,14,19891990,N,642,41,97,138
Mats Hallin,L,C,1958-03-19,Eskilstuna,--,SWE,SWE,74,200,1978,7,105,19821983,N,152,17,14,31
Doug Halward,L,D,1955-11-01,Toronto,ON,CAN,CAN,73,200,1975,1,14,19751976,N,653,69,224,293
Jean Hamel,L,D,1952-06-26,Asbestos,QC,CAN,CAN,71,195,1972,3,41,19721973,N,699,26,95,121
Gilles Hamel,L,L,1960-03-18,Asbestos,QC,CAN,CAN,75,183,1979,4,74,19801981,N,519,127,147,274
Bob Liddington,L,L,1948-09-15,Calgary,AB,CAN,CAN,72,175,--,--,--,19701971,N,11,0,1,1
Al Hamilton,R,D,1946-08-20,Flin Flon,MB,CAN,CAN,73,195,--,--,--,19651966,N,176,10,73,83
Ken Hammond,L,D,1963-08-22,Port Credit,ON,CAN,CAN,73,190,1983,8,147,19841985,N,193,18,29,47
Jim Hamilton,L,R,1957-01-18,Barrie,ON,CAN,CAN,72,180,1977,2,30,19771978,N,95,14,18,32
Inge Hammarstrom,L,L,1948-01-20,Sundsvall,--,SWE,SWE,72,180,--,--,--,19731974,N,427,116,123,239
Ted Hampson,L,C,1936-12-11,Togo,SK,CAN,CAN,68,173,--,--,--,19591960,N,156,19,40,59
Rick Hampton,L,D,1956-06-14,King,ON,CAN,CAN,72,190,1974,1,3,19741975,N,337,59,113,172
Gord Hampson,L,L,1959-02-13,Vancouver,BC,CAN,CAN,75,210,--,--,--,19821983,N,4,0,0,0
Mark Hamway,R,R,1961-08-09,Detroit,MI,USA,USA,72,190,1980,7,143,19841985,N,53,5,13,18
Ron Handy,L,L,1963-01-15,Toronto,ON,CAN,CAN,71,175,1981,3,57,19841985,N,14,0,3,3
Al Hangsleben,L,L,1953-02-22,Warroad,MN,USA,USA,73,195,1973,4,56,19791980,N,185,21,48,69
Jim Lorentz,L,C,1947-05-01,Waterloo,ON,CAN,CAN,72,190,--,--,--,19681969,N,580,153,219,372
Dave Hannan,L,C,1961-11-26,Sudbury,ON,CAN,CAN,70,180,1981,10,196,19811982,N,841,114,191,305
Bernie Lukowich,R,R,1952-03-18,North Battleford,SK,CAN,CAN,72,190,1972,2,30,19731974,N,79,13,15,28
Len Lunde,R,C,1936-11-13,Campbell River,BC,CAN,CAN,73,194,--,--,--,19581959,N,20,1,3,4
Joe Lundrigan,L,D,1948-09-12,Corner Brook,NL,CAN,CAN,71,180,--,--,--,19721973,N,52,2,8,10
Tord Lundstrom,L,L,1945-03-04,Kiruna,--,SWE,SWE,71,176,--,--,--,19731974,N,11,1,1,2
Jack Lynch,R,D,1952-05-28,Toronto,ON,CAN,CAN,74,180,1972,2,24,19721973,N,382,24,106,130
Steve Lyon,R,D,1952-05-16,Toronto,ON,CAN,CAN,70,169,1972,10,145,19761977,N,3,0,0,0
Lowell MacDonald,R,L,1941-08-30,New Glasgow,NS,CAN,CAN,71,185,--,--,--,19611962,N,328,140,166,306
Kim MacDougall,L,D,1954-08-29,Regina,SK,CAN,CAN,71,180,1974,4,60,19741975,N,1,0,0,0
Bruce MacGregor,R,C,1941-04-26,Edmonton,AB,CAN,CAN,70,180,--,--,--,19601961,N,267,68,89,157
Blair MacKasey,R,D,1955-12-13,Hamilton,ON,CAN,CAN,74,200,1975,4,55,19761977,N,1,0,0,0
Richie Hansen,L,C,1955-10-30,Bronx,NY,USA,USA,70,185,1975,7,119,19761977,N,20,2,8,10
David Hanson,L,D,1954-04-12,Cumberland,WI,USA,USA,72,190,--,--,--,19781979,N,33,1,1,2
Keith Hanson,R,D,1957-04-26,Ada,MN,USA,USA,77,215,1977,9,145,19831984,N,25,0,2,2
Jeff Harding,R,R,1969-04-06,Toronto,ON,CAN,CAN,75,220,1987,2,30,19881989,N,15,0,0,0
Terry Harper,R,D,1940-01-27,Regina,SK,CAN,CAN,73,200,--,--,--,19621963,N,642,24,142,166
Mark Hardy,L,D,1959-02-01,Samedan,--,CHE,CAN,71,195,1979,2,30,19791980,N,915,62,306,368
Scott Harlow,L,L,1963-10-11,East Bridgewater,MA,USA,USA,73,185,1982,3,61,19871988,N,1,0,1,1
Tim Harrer,R,R,1957-05-10,Bloomington,MN,USA,USA,72,185,1977,9,148,19821983,N,3,0,0,0
Billy MacMillan,L,R,1943-03-07,Charlottetown,PE,CAN,CAN,70,185,--,--,--,19701971,N,446,74,77,151
Bernie MacNeil,L,L,1950-03-07,Sudbury,ON,CAN,CAN,71,190,1970,6,82,19731974,N,4,0,0,0
Ralph MacSweyn,R,D,1942-09-08,Hawkesbury,ON,CAN,CAN,71,190,--,--,--,19671968,N,2,0,1,1
Connie Madigan,L,D,1934-10-04,Port Arthur,ON,CAN,CAN,70,185,--,--,--,19721973,N,20,0,3,3
Jim Mair,R,D,1946-05-15,Schumacher,ON,CAN,CAN,69,170,--,--,--,19701971,N,76,4,15,19
Chico Maki,R,R,1939-08-17,Sault Ste. Marie,ON,CAN,CAN,70,170,--,--,--,19611962,N,302,57,111,168
Wayne Maki,L,L,1944-11-10,Sault Ste. Marie,ON,CAN,CAN,72,185,--,--,--,19671968,N,180,50,73,123
Ray Maluta,L,D,1954-07-24,Flin Flon,MB,CAN,CAN,68,173,1974,7,126,19751976,N,25,2,3,5
Ken Mann,R,R,1953-09-05,Hamilton,ON,CAN,CAN,71,200,--,--,--,19751976,N,1,0,0,0
Brian Marchinko,R,C,1948-08-02,Weyburn,SK,CAN,CAN,72,180,--,--,--,19701971,N,47,2,6,8
Gilles Marotte,L,D,1945-06-07,Montréal,QC,CAN,CAN,69,205,--,--,--,19651966,N,477,36,171,207
Donnie Marshall,L,L,1932-03-23,Montréal,QC,CAN,CAN,70,160,--,--,--,19511952,N,112,22,43,65
